uid,name,location,togo,notification hot checkin,news hot checkin,notification hot spot,news hot spot,viewed checkin,liked,saved,type,timestamp
U07,少爺,淡水文化園區-殼牌倉庫,False,False,False,False,False,False,False,False,report anywhere,1564290148
U07,少爺,原英商嘉士洋行倉庫,False,False,False,False,False,False,False,False,report anywhere,1564290282
U07,少爺,淡水捷運站,False,False,False,False,False,False,False,False,report anywhere,1564290395
U07,少爺,助順大將軍爺廟,False,False,False,False,False,False,False,False,report anywhere,1564291304
U07,少爺,淡水市場,False,False,False,False,False,False,False,False,report anywhere,1564291495
U07,少爺,福佑宮,False,False,False,False,False,False,False,False,report anywhere,1564293183
U07,少爺,緣味古早味蛋糕,False,False,False,False,False,False,False,False,report anywhere,1564293727
U07,少爺,源味本舖現烤蛋糕,False,False,False,False,False,False,False,False,report anywhere,1564293861
U07,少爺,馬偕銅像,False,False,False,False,False,False,False,False,report anywhere,1564294339
U07,少爺,重建街,False,False,False,False,False,False,False,False,report anywhere,1564294734
U07,少爺,小房子裝可愛手作村,False,False,False,False,False,False,False,False,report anywhere,1564295230
U07,少爺,滬尾偕醫館,False,False,False,False,False,False,False,False,report anywhere,1564295681
U07,少爺,淡水禮拜堂,False,False,False,False,False,False,False,False,report anywhere,1564296075
U07,少爺,藝術穿堂,False,False,False,False,False,False,False,False,report anywhere,1564296195
U07,少爺,淡水渡船頭,False,False,False,False,False,False,False,False,report anywhere,1564299387
U07,少爺,淡水老街阿給,False,False,False,False,False,False,False,False,report anywhere,1564300007
U07,少爺,金色水岸,False,False,False,False,False,False,False,False,report anywhere,1564300488
U07,少爺,幸海宮,False,False,False,False,False,False,False,False,report anywhere,1564302807
U07,少爺,和衷宮,False,False,False,False,False,False,False,False,report anywhere,1564303030
U07,少爺,蒸汽火車BK20,True,False,False,False,False,False,False,False,report togo,1564290810
U07,少爺,蒸汽火車BK20,True,False,False,False,False,False,False,False,report togo,1564290895
U07,少爺,龍山寺,True,False,False,False,False,False,False,False,report togo,1564291624
U07,少爺,清水巖,True,False,False,False,False,False,False,False,report togo,1564292531
U07,少爺,重建街戀愛巷,True,False,False,False,False,False,False,False,report togo,1564292817
U07,少爺,3D意象彩繪階梯,True,False,False,False,False,False,False,False,report togo,1564292821
U07,少爺,阿婆鐵蛋,True,False,False,False,False,False,False,False,report togo,1564293611
U07,少爺,淡水老街,True,False,False,False,False,False,False,False,report togo,1564293813
U07,少爺,木下靜涯紀念公園,True,False,False,False,False,False,False,False,report togo,1564294883
U07,少爺,白樓故事牆,True,False,False,False,False,False,False,False,report togo,1564294971
U22,Jamie,龍山寺,True,False,False,False,False,False,False,False,report togo,1564291705
U22,Jamie,淡水老街,True,False,False,False,False,False,False,False,report togo,1564291919
U22,Jamie,木下靜涯紀念公園,True,False,False,False,False,False,False,False,report togo,1564296083
U22,Jamie,滬尾偕醫館,True,False,False,False,False,False,False,False,report togo,1564296398
U22,Jamie,得忌利士洋行,True,False,False,False,False,False,False,False,report togo,1564297268
U22,Jamie,多田榮吉故居,True,False,False,False,False,False,False,False,report togo,1564297789
U22,Jamie,淡水禮拜堂,True,False,False,False,False,False,False,False,report togo,1564298139
U22,Jamie,清水巖,True,False,False,False,False,False,False,False,report togo,1564299375
U17,Lily,金色水岸,False,False,False,False,False,False,False,False,report anywhere,1564290519
U17,Lily,阿嬤芋圓,False,False,False,False,False,False,False,False,report anywhere,1564291289
U17,Lily,福佑宮,False,False,False,False,False,False,False,False,report anywhere,1564295357
U17,Lily,馬偕銅像,False,False,False,False,False,False,False,False,report anywhere,1564296012
U17,Lily,淡水禮拜堂,False,False,False,False,False,False,False,False,report anywhere,1564296361
U17,Lily,淡水渡船頭,False,False,False,False,False,False,False,False,report anywhere,1564298560
U17,Lily,淡水中正美食廣場,False,False,False,False,False,False,False,False,report anywhere,1564298802
U17,Lily,淡水老街,True,False,False,False,False,False,False,False,report togo,1564293495
U49,鹽巴,信不信由你搜奇博物館,False,False,False,False,False,False,False,False,report anywhere,1564290836
U49,鹽巴,真理大學,False,False,False,False,False,False,False,False,report anywhere,1564295071
U49,鹽巴,金色水岸,True,False,False,False,False,False,False,False,report togo,1564291170
U49,鹽巴,小白宮,True,False,False,False,False,False,False,False,report togo,1564293006
U49,鹽巴,紅毛城,True,False,False,False,False,False,False,False,report togo,1564295948
U49,鹽巴,英國領事館,True,False,False,False,False,False,False,False,report togo,1564296847
U60,U60,淡水捷運站,False,False,False,False,False,False,False,False,report anywhere,1564291521
U60,U60,黑店排骨飯,False,False,False,False,False,False,False,False,report anywhere,1564291712
U60,U60,福佑宮,False,False,False,False,False,False,False,False,report anywhere,1564292409
U60,U60,阿婆鐵蛋,False,False,False,False,False,False,False,False,report anywhere,1564292608
U60,U60,古早味蛋糕,False,False,False,False,False,False,False,False,report anywhere,1564292804
U60,U60,百葉溫州大餛飩,False,False,False,False,False,False,False,False,report anywhere,1564293176
U60,U60,和果子,False,False,False,False,False,False,False,False,report anywhere,1564294322
U60,U60,多田榮吉故居,False,False,False,False,False,False,False,False,report anywhere,1564295257
U60,U60,小白宮,False,False,False,False,False,False,False,False,report anywhere,1564295878
U60,U60,淡水文化園區-殼牌倉庫,True,False,False,False,False,False,False,False,report togo,1564292004
U60,U60,清水巖,True,False,False,False,False,False,False,False,report togo,1564292025
U60,U60,淡水老街,True,False,False,False,False,False,False,False,report togo,1564294293
U60,U60,淡水禮拜堂,True,False,False,False,False,False,False,False,report togo,1564294489
U60,U60,得忌利士洋行,True,False,False,False,False,False,False,False,report togo,1564294696
U60,U60,淡水榕樹道,True,False,False,False,False,False,False,False,report togo,1564294700
U60,U60,教士會館,True,False,False,False,False,False,False,False,report togo,1564295867
U60,U60,馬偕故居(馬偕紀念館),True,False,False,False,False,False,False,False,report togo,1564295869
U60,U60,海關碼頭,True,False,False,False,False,False,False,False,report togo,1564296277
U60,U60,紅毛城,True,False,False,False,False,False,False,False,report togo,1564296280
U60,U60,英國領事館,True,False,False,False,False,False,False,False,report togo,1564296282
